Time(s),Voltage(V),Current(A),InternalResistance(mOhm)
43.251,4.0728,0.1999,
43.351,4.0728,0.1999,
43.451,4.0728,0.1999,
43.551,4.0728,0.1999,
43.651,4.0728,0.1999,
43.751,4.0728,0.1999,
43.851,4.0728,0.1999,
43.951,4.0728,0.1999,
44.051,4.0728,0.1999,
44.151,4.0728,0.1999,
44.251,4.0715,0.1999,
44.351,4.0728,0.1999,
44.451,4.0715,0.2000,
44.551,4.0728,0.1999,
44.651,4.0715,0.1999,
44.751,4.0715,0.1999,
44.851,4.0715,0.1999,
44.951,4.0715,0.1999,
45.051,4.0728,0.1999,
45.151,4.0715,0.2000,
45.251,4.0728,0.1999,
45.351,4.0715,0.1999,
45.451,4.0715,0.1999,
45.551,4.0715,0.1999,
45.651,4.0715,0.1999,
45.751,4.0715,0.1999,
45.851,4.0715,0.1999,
45.951,4.0715,0.1999,
46.051,4.0715,0.1999,
46.151,4.0715,0.1999,
46.251,4.0715,0.1999,
46.351,4.0715,0.1999,
46.451,4.0715,0.1999,
46.551,4.0715,0.2000,
46.651,4.0715,0.1999,
46.751,4.0715,0.1999,
46.851,4.0715,0.1999,
46.951,4.0715,0.1999,
47.051,4.0715,0.1999,
47.151,4.0715,0.1999,
47.251,4.0715,0.1999,
47.351,4.0715,0.1999,
47.451,4.0715,0.2000,
47.551,4.0715,0.1999,
47.651,4.0715,0.1999,
47.751,4.0715,0.1999,
47.851,4.0715,0.1999,
47.951,4.0715,0.1999,
48.051,4.0715,0.1999,
48.151,4.0715,0.1999,
48.251,4.0715,0.1999,
48.351,4.0715,0.1999,
48.451,4.0715,0.1999,
48.551,4.0715,0.1999,
48.651,4.0715,0.1999,
48.751,4.0715,0.1999,
48.851,4.0715,0.1999,
48.951,4.0715,0.1999,
49.051,4.0715,0.1999,
49.151,4.0715,0.1999,
49.251,4.0715,0.1999,
49.351,4.0715,0.1999,
49.451,4.0715,0.1999,
49.551,4.0715,0.1999,
49.651,4.0715,0.1999,
49.751,4.0715,0.1999,
49.851,4.0715,0.1999,
49.951,4.0715,0.1999,
50.051,4.0715,0.1999,
50.151,4.0715,0.1999,
50.251,4.0715,0.1999,
50.351,4.0715,0.1999,
50.451,4.0715,0.1999,
50.551,4.0715,0.1999,
50.651,4.0715,0.1999,
50.751,4.0715,0.1999,
50.851,4.0715,0.1999,
50.951,4.0715,0.1999,
51.051,4.0715,0.1999,
51.151,4.0715,0.1999,
51.251,4.0703,0.1999,
51.351,4.0715,0.1999,
51.451,4.0715,0.1999,
51.551,4.0715,0.1999,
51.651,4.0703,0.1999,
51.751,4.0715,0.1999,
51.851,4.0715,0.1999,
51.951,4.0715,0.2000,
52.051,4.0715,0.1999,
52.151,4.0715,0.1999,
52.251,4.0703,0.1999,
52.351,4.0715,0.1999,
52.451,4.0703,0.1999,
52.551,4.0715,0.1999,
52.651,4.0703,0.1999,
52.751,4.0703,0.1999,
52.851,4.0715,0.1999,
52.951,4.0703,0.1999,
53.051,4.0703,0.1999,
53.151,4.0703,0.1999,
53.251,4.0703,0.1999,
53.351,4.0703,0.1999,
53.451,4.0703,0.1999,
53.551,4.0703,0.1999,
53.651,4.0703,0.1999,
53.751,4.0703,0.1999,
53.851,4.0703,0.1999,
53.951,4.0703,0.1999,
54.051,4.0703,0.1999,
54.151,4.0703,0.1999,
54.251,4.0715,0.1999,
54.351,4.0703,0.1999,
54.451,4.0703,0.1999,
54.551,4.0703,0.1999,
54.651,4.0703,0.1999,
54.751,4.0703,0.1999,
54.851,4.0703,0.1999,
54.951,4.0703,0.1999,
55.051,4.0703,0.1999,
55.151,4.0703,0.2000,
55.251,4.0703,0.1999,
55.351,4.0703,0.1999,
55.451,4.0703,0.1999,
55.551,4.0703,0.1999,
55.651,4.0703,0.1999,
55.751,4.0703,0.1999,
55.851,4.0703,0.1999,
55.951,4.0703,0.1999,
56.051,4.0703,0.1999,
56.151,4.0703,0.1999,
56.251,4.0703,0.1999,
56.351,4.0703,0.1999,
56.451,4.0703,0.1999,
56.551,4.0703,0.1999,
56.651,4.0703,0.1999,
56.751,4.0703,0.1999,
56.851,4.0703,0.1999,
56.951,4.0703,0.1999,
57.051,4.0703,0.1999,
57.151,4.0703,0.1999,
57.251,4.0703,0.1999,
57.351,4.0703,0.1999,
57.451,4.0703,0.1999,
57.551,4.0703,0.1999,
57.651,4.0703,0.1999,
57.751,4.0703,0.1999,
57.851,4.0703,0.1999,
57.951,4.0703,0.1999,
58.051,4.0703,0.1999,
58.151,4.0703,0.1999,
58.251,4.0703,0.1999,
58.351,4.0703,0.1999,
58.451,4.0703,0.1999,
58.551,4.0703,0.1999,
58.651,4.0703,0.1999,
58.751,4.0703,0.1999,
58.851,4.0691,0.1999,
58.951,4.0703,0.1999,
59.051,4.0703,0.1999,
59.151,4.0703,0.1999,
59.251,4.0703,0.1999,
59.351,4.0703,0.1999,
59.451,4.0703,0.1999,
59.551,4.0703,0.1999,
59.651,4.0703,0.1999,
59.751,4.0703,0.1999,
59.851,4.0703,0.1999,
59.951,4.0703,0.1999,
60.051,4.0703,0.1999,
60.151,4.0703,0.1999,
60.251,4.0703,0.1999,
60.351,4.0691,0.1999,
60.451,4.0703,0.1999,
60.551,4.0703,0.1999,
60.651,4.0703,0.1999,
60.751,4.0703,0.1999,
60.851,4.0691,0.1999,
60.951,4.0703,0.1999,
61.051,4.0703,0.1999,
61.151,4.0691,0.1999,
61.251,4.0691,0.1999,
61.351,4.0703,0.1999,
61.451,4.0703,0.1999,
61.551,4.0691,0.1999,
61.651,4.0703,0.1999,
61.751,4.0691,0.1999,
61.851,4.0691,0.1999,
61.951,4.0691,0.1999,
62.051,4.0691,0.1999,
62.151,4.0703,0.1999,
62.251,4.0703,0.1999,
62.351,4.0691,0.1999,
62.451,4.0691,0.1999,
62.551,4.0703,0.1999,
62.651,4.0691,0.1999,
62.751,4.0691,0.1999,
62.851,4.0691,0.1999,
62.951,4.0691,0.1999,
63.051,4.0703,0.1999,
63.151,4.0703,0.1999,
63.251,4.0691,0.1999,
63.352,4.0691,0.1999,
63.452,4.0691,0.1999,
63.552,4.0691,0.1999,
63.652,4.0691,0.1999,
63.752,4.0691,0.1999,
63.852,4.0703,0.1999,
63.952,4.0691,0.1999,
64.052,4.0691,0.1999,
64.152,4.0691,0.1999,
64.252,4.0703,0.1999,
64.352,4.0691,0.1999,
64.452,4.0691,0.1999,
64.552,4.0691,0.1999,
64.652,4.0691,0.1999,
64.752,4.0691,0.1999,
64.852,4.0691,0.1999,
64.952,4.0691,0.1999,
65.052,4.0691,0.1999,
65.152,4.0691,0.1999,
65.252,4.0691,0.1999,
65.352,4.0691,0.1999,
65.452,4.0691,0.1999,
65.552,4.0691,0.1999,
65.652,4.0691,0.1999,
65.752,4.0691,0.1999,
65.852,4.0691,0.1999,
65.952,4.0691,0.1999,
66.052,4.0691,0.1999,
66.152,4.0691,0.1999,
66.252,4.0691,0.1999,
66.352,4.0691,0.1999,
66.452,4.0691,0.1999,
66.552,4.0691,0.1999,
66.652,4.0691,0.1999,
66.752,4.0691,0.1999,
66.852,4.0691,0.1999,
66.952,4.0691,0.1999,
67.052,4.0691,0.1999,
67.152,4.0691,0.1999,
67.252,4.0691,0.1999,
67.352,4.0691,0.1999,
67.452,4.0691,0.1999,
67.552,4.0691,0.1999,
67.652,4.0691,0.1999,
67.752,4.0691,0.1999,
67.852,4.0691,0.1999,
67.952,4.0691,0.1999,
68.052,4.0691,0.1999,
68.152,4.0691,0.1999,
68.252,4.0691,0.1999,
68.352,4.0691,0.1999,
68.452,4.0691,0.1999,
68.552,4.0691,0.1999,
68.652,4.0691,0.1999,
68.752,4.0691,0.1999,
68.852,4.0691,0.1999,
68.952,4.0691,0.1999,
69.052,4.0691,0.1999,
69.152,4.0691,0.1999,
69.252,4.0691,0.1999,
69.352,4.0691,0.1999,
69.452,4.0691,0.1999,
69.552,4.0691,0.1999,
69.652,4.0691,0.1999,
69.752,4.0691,0.1999,
69.852,4.0691,0.1999,
69.952,4.0691,0.1999,
70.052,4.0691,0.1999,
70.152,4.0691,0.1999,
70.252,4.0691,0.1999,
70.352,4.0691,0.1999,
70.452,4.0691,0.1999,
70.552,4.0691,0.1999,
70.652,4.0691,0.1999,
70.752,4.0691,0.1999,
70.852,4.0691,0.1999,
70.952,4.0691,0.1999,
71.052,4.0691,0.1999,
71.152,4.0679,0.1999,
71.252,4.0691,0.1999,
71.352,4.0679,0.1999,
71.452,4.0691,0.1999,
71.552,4.0691,0.1999,
71.652,4.0691,0.1999,
71.752,4.0691,0.1999,
71.852,4.0691,0.1999,
71.952,4.0691,0.1999,
72.052,4.0691,0.1999,
72.152,4.0679,0.1999,
72.252,4.0679,0.1999,
72.352,4.0679,0.1999,
72.452,4.0679,0.1999,
72.552,4.0679,0.1999,
72.652,4.0679,0.1999,
72.752,4.0691,0.1999,
72.852,4.0679,0.1999,
72.952,4.0679,0.1999,
73.052,4.0679,0.1999,
73.152,4.0679,0.1999,
73.252,4.0691,0.1999,
73.352,4.0679,0.1999,
73.452,4.0679,0.1999,
73.552,4.0679,0.1999,
73.652,4.0679,0.1999,
73.752,4.0679,0.1999,
73.852,4.0679,0.1999,
73.952,4.0679,0.1999,
74.052,4.0679,0.1999,
74.152,4.0679,0.1999,
74.252,4.0679,0.1999,
74.352,4.0679,0.1999,
74.452,4.0679,0.1999,
74.552,4.0679,0.2000,
74.652,4.0679,0.1999,
74.752,4.0679,0.1999,
74.852,4.0679,0.1999,
74.952,4.0679,0.1999,
75.052,4.0679,0.1999,
75.152,4.0679,0.1999,
75.252,4.0679,0.1999,
75.352,4.0679,0.1999,
75.452,4.0679,0.1999,
75.552,4.0679,0.1999,
75.652,4.0679,0.1999,
75.752,4.0679,0.1999,
75.852,4.0679,0.1999,
75.952,4.0679,0.1999,
76.052,4.0679,0.1999,
76.152,4.0679,0.1999,
76.252,4.0679,0.1999,
76.352,4.0679,0.1999,
76.452,4.0679,0.1999,
76.552,4.0679,0.1999,
76.652,4.0679,0.1999,
76.752,4.0679,0.1999,
76.852,4.0679,0.1999,
76.952,4.0679,0.1999,
77.052,4.0679,0.1999,
77.152,4.0679,0.1999,
77.252,4.0679,0.1999,
77.352,4.0679,0.1999,
77.452,4.0679,0.1999,
77.552,4.0679,0.1999,
77.652,4.0679,0.1999,
77.752,4.0679,0.1999,
77.852,4.0679,0.1999,
77.952,4.0679,0.1999,
78.052,4.0679,0.1999,
78.152,4.0679,0.1999,
78.252,4.0679,0.1999,
78.352,4.0679,0.1999,
78.452,4.0679,0.1999,
78.552,4.0679,0.1999,
78.652,4.0679,0.1999,
78.752,4.0679,0.1999,
78.852,4.0679,0.1999,
78.952,4.0679,0.1999,
79.052,4.0679,0.1999,
79.152,4.0679,0.1999,
79.252,4.0679,0.1999,
79.352,4.0679,0.1999,
79.452,4.0679,0.1999,
79.552,4.0679,0.1999,
79.652,4.0679,0.1999,
79.752,4.0679,0.1999,
79.852,4.0679,0.2000,
79.952,4.0679,0.1999,
80.052,4.0679,0.1999,
80.152,4.0679,0.1999,
80.252,4.0679,0.1999,
80.352,4.0679,0.1999,
80.452,4.0679,0.1999,
80.552,4.0679,0.1999,
80.652,4.0679,0.1999,
80.752,4.0679,0.2000,
80.852,4.0679,0.1999,
80.952,4.0679,0.1999,
81.052,4.0679,0.1999,
81.152,4.0679,0.1999,
81.252,4.0679,0.1999,
81.352,4.0679,0.1999,
81.452,4.0679,0.1999,
81.552,4.0679,0.1999,
81.652,4.0679,0.1999,
81.752,4.0679,0.1999,
81.852,4.0679,0.1999,
81.952,4.0679,0.1999,
82.052,4.0679,0.1999,
82.152,4.0666,0.1999,
82.252,4.0679,0.1999,
82.352,4.0679,0.1999,
82.452,4.0679,0.1999,
82.552,4.0666,0.1999,
82.652,4.0679,0.1999,
82.752,4.0666,0.2000,
82.852,4.0666,0.1999,
82.952,4.0666,0.1999,
83.052,4.0666,0.1999,
83.152,4.0666,0.1999,
83.252,4.0679,0.1999,
83.352,4.0666,0.1999,
83.452,4.0679,0.1999,
83.552,4.0666,0.1999,
83.652,4.0666,0.1999,
83.752,4.0666,0.1999,
83.852,4.0666,0.1999,
83.952,4.0666,0.1999,
84.052,4.0666,0.1999,
84.152,4.0666,0.1999,
84.252,4.0666,0.1999,
84.352,4.0666,0.1999,
84.452,4.0666,0.1999,
84.552,4.0666,0.2000,
84.652,4.0666,0.1999,
84.752,4.0666,0.1999,
84.852,4.0666,0.1999,
84.952,4.0666,0.1999,
85.052,4.0666,0.1999,
85.152,4.0666,0.1999,
85.252,4.0666,0.1999,
85.352,4.0666,0.1999,
85.452,4.0666,0.1999,
85.552,4.0666,0.1999,
85.652,4.0666,0.1999,
85.752,4.0666,0.1999,
85.852,4.0666,0.1999,
85.952,4.0666,0.1999,
86.052,4.0666,0.2000,
86.153,4.0666,0.1999,
86.253,4.0666,0.1999,
86.353,4.0666,0.1999,
86.453,4.0666,0.1999,
86.553,4.0666,0.1999,
86.653,4.0666,0.1999,
86.753,4.0666,0.1999,
86.853,4.0666,0.1999,
86.953,4.0666,0.1999,
87.053,4.0666,0.1999,
87.153,4.0666,0.1999,
87.253,4.0666,0.1999,
87.353,4.0666,0.1999,
87.453,4.0666,0.1999,
87.553,4.0666,0.1999,
87.653,4.0666,0.1999,
87.753,4.0666,0.1999,
87.853,4.0666,0.1999,
87.953,4.0666,0.1999,
88.053,4.0666,0.1999,
88.153,4.0666,0.1999,
88.253,4.0666,0.1999,
88.353,4.0666,0.1999,
88.453,4.0666,0.1999,
88.553,4.0666,0.1999,
88.653,4.0666,0.1999,
88.753,4.0666,0.1999,
88.853,4.0666,0.1999,
88.953,4.0666,0.1999,
89.053,4.0666,0.1999,
89.153,4.0666,0.1999,
89.253,4.0666,0.1999,
89.353,4.0666,0.1999,
89.453,4.0666,0.1999,
89.553,4.0666,0.1999,
89.653,4.0666,0.1999,
89.753,4.0666,0.1999,
89.853,4.0666,0.1999,
89.953,4.0666,0.1999,
90.053,4.0666,0.1999,
90.153,4.0666,0.1999,
90.253,4.0666,0.1999,
90.353,4.0666,0.1999,
90.453,4.0666,0.1999,
90.553,4.0666,0.1999,
90.653,4.0666,0.1999,
90.753,4.0666,0.1999,
90.853,4.0666,0.1999,
90.953,4.0666,0.1999,
91.053,4.0666,0.1999,
91.153,4.0666,0.1999,
91.253,4.0666,0.1999,
91.353,4.0666,0.1999,
91.453,4.0666,0.1999,
