Time(s),Voltage(V),Current(A),InternalResistance(mOhm)
43.053,4.0782,0.1999,
43.153,4.0782,0.2000,
43.253,4.0782,0.1999,
43.353,4.0782,0.2000,
43.453,4.0782,0.2000,
43.553,4.0782,0.2000,
43.653,4.0782,0.1999,
43.753,4.0782,0.1999,
43.853,4.0782,0.1999,
43.953,4.0782,0.1999,
44.053,4.0782,0.2000,
44.153,4.0782,0.2000,
44.253,4.0770,0.2000,
44.353,4.0782,0.1999,
44.453,4.0782,0.1999,
44.553,4.0770,0.1999,
44.653,4.0782,0.2000,
44.753,4.0770,0.2000,
44.853,4.0770,0.2000,
44.953,4.0782,0.1999,
45.053,4.0770,0.1999,
45.153,4.0782,0.1999,
45.254,4.0782,0.1999,
45.354,4.0782,0.1999,
45.454,4.0770,0.1999,
45.554,4.0770,0.2000,
45.654,4.0770,0.1999,
45.754,4.0770,0.1999,
45.854,4.0770,0.1999,
45.954,4.0770,0.2000,
46.054,4.0770,0.1999,
46.154,4.0770,0.2000,
46.254,4.0770,0.1999,
46.354,4.0770,0.1999,
46.454,4.0770,0.2000,
46.554,4.0770,0.1999,
46.654,4.0770,0.1999,
46.754,4.0770,0.1999,
46.854,4.0770,0.1999,
46.954,4.0770,0.1999,
47.054,4.0770,0.1999,
47.154,4.0770,0.2000,
47.254,4.0770,0.1999,
47.354,4.0770,0.1999,
47.454,4.0770,0.1999,
47.554,4.0770,0.1999,
47.654,4.0770,0.1999,
47.754,4.0770,0.1999,
47.854,4.0770,0.2000,
47.954,4.0770,0.1999,
48.054,4.0770,0.1999,
48.154,4.0770,0.1999,
48.254,4.0770,0.2000,
48.354,4.0770,0.1999,
48.454,4.0770,0.1999,
48.554,4.0770,0.2000,
48.654,4.0770,0.1999,
48.754,4.0770,0.1999,
48.854,4.0770,0.1999,
48.954,4.0770,0.1999,
49.054,4.0770,0.1999,
49.154,4.0770,0.1999,
49.254,4.0770,0.2000,
49.354,4.0770,0.2000,
49.454,4.0770,0.1999,
49.554,4.0758,0.1999,
49.654,4.0770,0.1999,
49.754,4.0758,0.1999,
49.854,4.0758,0.1999,
49.954,4.0770,0.2000,
50.054,4.0770,0.1999,
50.154,4.0758,0.2000,
50.254,4.0758,0.1999,
50.354,4.0758,0.1999,
50.454,4.0758,0.1999,
50.554,4.0758,0.1999,
50.654,4.0758,0.1999,
50.754,4.0758,0.1999,
